label,occorrenze,media_flusso_fisso_max_run_CORRETTO_Correzione_Additiva_dell_Apertura_DECORRELAZIONE_STELLE_GLOBALE
RA_171.56DEC10.28,15,159.41785870398817
RA_171.56DEC6.78,15,124.57440418413604
RA_171.58DEC8.66,15,1976.1463705261312
RA_171.59DEC9.37,15,228.9112769148024
RA_171.60DEC10.42,15,345.4009162133237
RA_171.61DEC-32.15,82,123.93362697553704
RA_171.63DEC8.09,15,185.7702175770129
RA_171.69DEC-32.98,72,103.66046079159715
RA_171.72DEC9.02,14,400.63189805398144
RA_171.75DEC-31.28,37,81.42090099518751
RA_171.79DEC9.81,13,132.82458882290825
RA_171.83DEC8.20,13,197.61900043638556
RA_171.87DEC-31.93,67,87.7250711484876
RA_171.88DEC-31.25,79,138.6941926186308
RA_171.93DEC-30.36,75,98.47694492389516
RA_171.95DEC7.88,12,263.7379391709214
RA_171.95DEC9.48,12,348.47963185468484
RA_171.96DEC-30.50,78,231.36352775459048
RA_171.96DEC-32.64,79,142.9504185231063
RA_171.97DEC-31.91,79,160.22120277540998
RA_171.97DEC-32.52,75,93.44831565567351
RA_171.98DEC-31.40,78,134.43344047349407
RA_171.98DEC-32.85,80,121.6643249453954
RA_172.04DEC-32.96,39,81.09548163928926
RA_172.11DEC8.55,11,507.17698910692815
RA_172.13DEC-32.02,28,83.85213445531586
RA_172.14DEC-33.09,80,115.312553906208
RA_172.18DEC-31.67,68,86.67084436021908
RA_172.21DEC-32.61,79,167.97956776839578
RA_172.22DEC-30.44,74,104.7728281757766
RA_172.23DEC8.33,10,137.18278565870824
RA_172.25DEC10.04,10,1402.5929582339406
RA_172.27DEC-30.99,78,116.52898104277749
RA_172.34DEC-32.32,42,82.18501131227958
RA_172.36DEC-30.61,21,81.43358530148933
RA_172.38DEC-30.51,69,93.10178587692896
RA_172.42DEC-33.07,26,86.15174489206605
RA_172.43DEC-30.93,47,82.51543653400375
RA_172.47DEC-32.03,79,117.07116318510634
RA_172.47DEC-32.55,13,85.77314566238707
RA_172.48DEC-31.58,59,83.14118951868964
RA_172.50DEC-30.45,76,95.12172286980504
RA_172.54DEC-32.42,79,192.08027707786923
RA_172.55DEC-31.08,19,78.88828005293789
RA_172.59DEC-31.15,78,115.82166725248014
RA_172.63DEC-30.44,78,327.46002598256916
RA_172.63DEC-31.30,31,76.91328506206018
RA_172.75DEC-31.64,74,91.71934711247776
RA_172.76DEC-30.26,78,233.71047646684275
RA_172.88DEC-30.56,78,242.64310055050177
RA_172.89DEC-31.67,38,80.89931240128543
RA_172.90DEC-33.12,78,108.54364454781778
RA_172.96DEC-30.86,44,83.57955982758202
RA_172.96DEC-32.69,51,80.9116117852092
RA_173.04DEC-31.14,38,81.93462867768251
RA_173.04DEC-31.40,79,194.84190937629282
RA_173.07DEC-30.43,78,188.35694244764983
RA_173.11DEC-31.11,40,84.13620027993167
RA_173.12DEC-30.97,78,403.03810195351474
RA_173.15DEC-30.95,79,117.65090156946144
RA_173.20DEC-31.64,73,95.44208297462112
RA_173.24DEC-30.47,74,100.5111666700071
RA_173.24DEC-32.03,57,82.75094892612942
RA_173.26DEC-32.87,50,81.53647571693521
RA_173.28DEC-31.00,79,109.48623217308638
RA_173.33DEC-32.49,77,109.36732081528513
RA_173.35DEC-30.68,78,140.31334469634
RA_173.44DEC-31.33,24,90.21978686656662
RA_173.48DEC-32.80,80,161.56663987586936
RA_173.49DEC-31.91,79,240.7083431047759
RA_173.51DEC-30.12,50,82.16887989463399
RA_173.56DEC-30.52,79,175.72958913983183
RA_173.59DEC-30.61,78,133.50761144289058
RA_173.61DEC-31.78,71,93.17464616448713
RA_173.62DEC-31.56,68,90.85755270757159
RA_173.62DEC-32.46,46,82.36319301062348
RA_173.62DEC-32.83,35,2453.7954995060686
RA_173.70DEC-32.44,34,232.2188598286456
RA_173.71DEC-31.93,79,186.2102099245026
RA_173.76DEC-30.03,33,1088.052342936692
RA_173.76DEC-30.72,33,1011.6535890069483
RA_173.84DEC-31.61,62,84.70545854269817
RA_173.86DEC-31.14,66,88.40153209028948
RA_173.86DEC-32.55,33,132.000265127716
RA_173.89DEC-31.64,61,81.89978174826308
RA_173.92DEC-31.52,76,99.51250761690346
RA_173.96DEC-29.81,31,141.41418087055573
RA_173.98DEC-31.03,78,146.60999751742415
