# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T21:57:22.122
# DATE-END: 2025-01-20T21:57:23.181
# TSTART: 1737410242121.92
# TSTOP: 1737410243121.92
# DATE: 2025-01-20T21:57:24
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 84.170781012089
# DEC: 22.0159878940876
# EQUINOX: 2000.0
# CRVAL1: 84.170781012089
# CRVAL2: 22.0159878940876
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.0010330125068407
# CD1_2: 0.00150594349664325
# CD2_1: -0.00150578937258316
# CD2_2: -0.00103317584371109
# A_ORDER: 2
# A_0_2: -4.44537562550544e-08
# A_1_1: 1.48893315318093e-07
# A_2_0: -2.71736979663917e-07
# B_ORDER: 2
# B_0_2: -8.48010090227836e-09
# B_1_1: -2.44714237235804e-07
# B_2_0: 3.6253694902371e-07
# AP_ORDER: 2
# AP_0_0: 2.65146200133515e-06
# AP_0_1: -1.61250859088113e-07
# AP_0_2: 4.44528546633007e-08
# AP_1_0: 3.24705115448576e-07
# AP_1_1: -1.48889932672879e-07
# AP_2_0: 2.71731616407849e-07
# BP_ORDER: 2
# BP_0_0: -3.81771220592242e-06
# BP_0_1: 1.9624573404538e-07
# BP_0_2: 8.48089577582154e-09
# BP_1_0: -4.48220434880116e-07
# BP_1_1: 2.44709917903427e-07
# BP_2_0: -3.62529069419457e-07
# NOME_FILE: 20250120_215722.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_1_stelle_trovate_e_catalogate_immagine_087.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni_run_1,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
23,258.79956785680866,234.5991317595065,84.31609907449806,24.748951490192024,5.0,11.0,NO,65,79.77903750535415,79.05292591414947,82.73,1.28,79.05292591414947,82.73,1.28,34.4736026302319,24.93,1.55,3.5,NO,,INT_86,,,,79.05,82.73,1.28,3.5
24,3007.70259052385,239.92375057624625,81.29172788008024,20.5827387949726,83.0,95.0,NO,103,1585.8308210095256,1529.2688827268444,1668.65,7.07,1543.8584539699152,1692.11,7.91,1544.505510768167,1719.69,9.63,6.03893886048084,SI (Rank 1),I/239/hip_main,25337.0,81.2932321018,20.5837266364,6.75,1559.39,1719.88,8.07,6.38
25,713.2062264769382,248.49276551893016,83.82391015915408,24.051208115176053,14.0,23.0,NO,93,134.69834477195943,134.1715715103105,146.45,1.14,134.1715715103105,146.45,1.14,104.66497528821068,117.45,1.10,3.5,NO,,INT_72,,,,134.17,146.45,1.14,3.5
26,1756.4835493464896,260.3374465906772,82.68110883886992,22.462367417486387,117.0,254.0,SI,115,2994.606860750823,2835.0369300338334,2998.77,7.12,2860.9008991685523,3046.05,7.28,2950.165760945264,3158.40,7.40,5.857446773062619,SI (Rank 1),I/239/hip_main,25806.0,82.6806152023,22.4622546563,6.29,2916.34,3096.53,6.83,6.34
27,707.0386400000549,268.4454759012248,83.86380479662509,24.039977294930367,160.0,254.0,SI,115,5219.148500615796,4990.776528030184,5241.07,8.64,5038.391391047201,5300.85,9.52,5248.539148372097,5539.87,11.57,6.833963966673413,SI (Rank 1),I/239/hip_main,26248.0,83.8630420877,24.0395887842,5.37,5158.99,5369.60,8.98,7.69
28,487.5896990846469,270.7880517518127,84.11588195144871,24.367836503818584,61.0,70.0,NO,115,918.3140196300404,835.6126199042069,854.45,4.44,844.7107000950084,874.55,6.12,823.5585561009118,857.56,6.72,5.106497541309056,NO,,INT_85,,,,844.71,874.55,6.12,5.11
29,2418.238825680542,271.2073340745733,81.97641960240448,21.447240799006057,19.0,24.0,NO,114,184.1631194849785,179.921510882015,199.33,1.25,179.921510882015,199.50,1.27,152.7063653336426,181.62,1.27,3.5,NO,,INT_17,,,,179.92,199.50,1.27,3.5
30,1171.662312456325,270.68687089637706,83.34617684460632,23.336761732231533,3.0,12.0,NO,93,55.87006356244072,58.30045406087207,73.44,0.70,58.30045406087207,73.44,0.70,17.897030588357147,32.00,0.90,3.5,NO,,INT_55,,,,58.3,73.44,0.70,3.5
31,2252.3843847648977,279.07487059264093,82.16926609605149,21.69113032125223,17.0,25.0,NO,115,154.0135135495864,151.5971997511674,150.11,1.41,151.5971997511674,150.11,1.41,134.75505942829798,124.32,1.30,3.5,NO,,INT_24,,,,151.6,150.11,1.41,3.5
32,1800.402235661654,282.43190133836384,82.66900795590922,22.37331975546065,30.0,43.0,NO,115,313.686780220784,302.9213804580962,295.10,1.36,302.9213804580962,295.65,1.42,290.8250373591514,278.10,1.42,3.5,NO,,INT_37,,,,302.92,295.65,1.42,3.5
