# Header FITS:
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T22:02:36.899
# DATE-END: 2025-01-20T22:02:37.960
# TSTART: 1737410556898.91
# TSTOP: 1737410557898.92
# DATE: 2025-01-20T22:02:39
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 84.1714472687462
# DEC: 22.0164324498336
# EQUINOX: 2000.0
# CRVAL1: 84.1714472687462
# CRVAL2: 22.0164324498336
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.00111207545916005
# CD1_2: 0.00144831174695545
# CD2_1: -0.00144816567629971
# CD2_2: -0.00111228541953931
# A_ORDER: 2
# A_0_2: 5.45923149781226e-08
# A_1_1: -1.77098953070562e-07
# A_2_0: -3.50179034045973e-08
# B_ORDER: 2
# B_0_2: -3.43437117148274e-07
# B_1_1: -5.43594971492422e-08
# B_2_0: 1.79596756520831e-07
# AP_ORDER: 2
# AP_0_0: -1.85756428335478e-07
# AP_0_1: 7.98155021828167e-09
# AP_0_2: -5.4592873451772e-08
# AP_1_0: -1.28974411700507e-08
# AP_1_1: 1.770962667056e-07
# AP_2_0: 3.50191531774355e-08
# BP_ORDER: 2
# BP_0_0: 4.10697514811413e-08
# BP_0_1: 4.92159975585574e-09
# BP_0_2: 3.43431261970492e-07
# BP_1_0: -1.46684336183881e-09
# BP_1_1: 5.43648452456758e-08
# BP_2_0: -1.79594471209041e-07
# PERCORSO_FILE: /home/astro/ASTRI/Lorenzo/pmc_photometry/run_vecchie/20250120_run1/20250120_220236.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
#
label,xcentroid,ycentroid,area,max_value,saturazione,kron_flux,kron_fluxerr,kron_manuale_seg,kron_manuale_aper,raggio_kron_aper,somma_apertura_ultimo_pixel,flusso_fisso_max_run,raggio_fisso_max_run,RA_centroid,DEC_centroid,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag
10,204.52394716274705,91.47696666839744,4.0,13.0,NO,76.38821160598168,,76.39192858053524,76.39192858053524,3.5,14.123969164105729,76.39,3.50,84.31556305129429,24.975709057490587,SI (Rank 1),II/389/ps1_dr2,1.379608431618591e+17,84.31619386,24.97365066,9.8265
10,204.52394716274705,91.47696666839744,4.0,13.0,NO,76.38821160598168,,76.39192858053524,76.39192858053524,3.5,14.123969164105729,76.39,3.50,84.31556305129429,24.975709057490587,SI (Rank 2),II/389/ps1_dr2,1.3796084315843933e+17,84.3160401,24.97396035,10.147
10,204.52394716274705,91.47696666839744,4.0,13.0,NO,76.38821160598168,,76.39192858053524,76.39192858053524,3.5,14.123969164105729,76.39,3.50,84.31556305129429,24.975709057490587,SI (Rank 3),II/389/ps1_dr2,1.3796084315979968e+17,84.31584014,24.97439539,11.5511
10,204.52394716274705,91.47696666839744,4.0,13.0,NO,76.38821160598168,,76.39192858053524,76.39192858053524,3.5,14.123969164105729,76.39,3.50,84.31556305129429,24.975709057490587,SI (Rank 4),II/389/ps1_dr2,1.3797084317172018e+17,84.31723746,24.97445526,13.4181
10,204.52394716274705,91.47696666839744,4.0,13.0,NO,76.38821160598168,,76.39192858053524,76.39192858053524,3.5,14.123969164105729,76.39,3.50,84.31556305129429,24.975709057490587,SI (Rank 5),II/389/ps1_dr2,1.3796084316601917e+17,84.31670526,24.97390464,14.0364
10,204.52394716274705,91.47696666839744,4.0,13.0,NO,76.38821160598168,,76.39192858053524,76.39192858053524,3.5,14.123969164105729,76.39,3.50,84.31556305129429,24.975709057490587,SI (Rank 6),II/389/ps1_dr2,1.3796084316280878e+17,84.31647488,24.97346425,14.2535
10,204.52394716274705,91.47696666839744,4.0,13.0,NO,76.38821160598168,,76.39192858053524,76.39192858053524,3.5,14.123969164105729,76.39,3.50,84.31556305129429,24.975709057490587,SI (Rank 7),II/389/ps1_dr2,1.379608431540891e+17,84.31535237,24.97376678,14.984
11,669.7090606453611,102.23009749049504,90.0,164.0,NO,1872.158877577788,,1767.885697278668,1786.548230352453,5.464781044977162,1827.6054949893316,1826.39,6.01,83.76443054388645,24.29105445708221,SI (Rank 1),I/239/hip_main,26201.0,83.7648740231,24.2907687512,6.82
11,669.7090606453611,102.23009749049504,90.0,164.0,NO,1872.158877577788,,1767.885697278668,1786.548230352453,5.464781044977162,1827.6054949893316,1826.39,6.01,83.76443054388645,24.29105445708221,SI (Rank 2),II/389/ps1_dr2,1.3714083764913968e+17,83.76489979,24.29072388,7.276
11,669.7090606453611,102.23009749049504,90.0,164.0,NO,1872.158877577788,,1767.885697278668,1786.548230352453,5.464781044977162,1827.6054949893316,1826.39,6.01,83.76443054388645,24.29105445708221,SI (Rank 3),II/389/ps1_dr2,1.371508376417705e+17,83.76383791,24.29162593,13.0925
