# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T22:08:53.327
# DATE-END: 2025-01-20T22:08:54.386
# TSTART: 1737410933326.92
# TSTOP: 1737410934326.92
# DATE: 2025-01-20T22:08:56
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 83.1111648642204
# DEC: 21.9827454844592
# EQUINOX: 2000.0
# CRVAL1: 83.1111648642204
# CRVAL2: 21.9827454844592
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.00131177031851621
# CD1_2: 0.00127009730986852
# CD2_1: -0.00126986812452313
# CD2_2: -0.0013127346666511
# A_ORDER: 2
# A_0_2: -3.0547658515953e-07
# A_1_1: 2.8170962592659e-07
# A_2_0: -3.07766508989695e-08
# B_ORDER: 2
# B_0_2: 3.95143913732217e-08
# B_1_1: 2.5345779743477e-07
# B_2_0: 1.61038312462324e-07
# AP_ORDER: 2
# AP_0_0: -4.02943027873655e-07
# AP_0_1: -1.17017065220524e-07
# AP_0_2: 3.05479161959724e-07
# AP_1_0: 5.39396898027525e-08
# AP_1_1: -2.817082653471e-07
# AP_2_0: 3.07760140682696e-08
# BP_ORDER: 2
# BP_0_0: 8.48617295012843e-07
# BP_0_1: 8.39482647815781e-08
# BP_0_2: -3.95127132248787e-08
# BP_1_0: 4.73469076347991e-08
# BP_1_1: -2.53460095633769e-07
# BP_2_0: -1.61040052425698e-07
# NOME_FILE: 20250120_220853.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_1_stelle_trovate_e_catalogate_immagine_115.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni_run_1,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag
32,1566.572215160592,267.0188383142363,82.02415302091664,22.93018488040824,36.0,52.0,NO,3,468.5973396785767,407.9986919099271,264.00,7.75,409.6501242273608,264.92,7.80,377.94467407794576,240.61,8.57,3.9342230148728814,NO,,INT_722,,,
33,528.4980485092343,281.506429741809,83.52642171097723,24.23074039174067,4.0,10.0,NO,62,93.70596842449966,87.82149095266641,79.13,1.09,87.82149095266641,79.13,1.09,12.34531020749648,25.21,1.23,3.5,NO,,INT_31,,,
34,282.85063149128035,287.07166201568185,83.88905135522802,24.53318901721414,21.0,23.0,NO,113,238.8157524035909,200.0728290430064,177.86,1.48,201.2646367764493,178.01,1.50,182.7064187619998,152.27,1.48,3.5566093200722464,NO,,INT_52,,,
35,1835.8852045476929,293.3419208961294,81.68090630209562,22.55118846881754,9.0,20.0,NO,3,117.09096838565436,109.1103042063074,264.00,7.75,109.1103042063074,264.92,7.80,66.13696834635265,240.61,8.57,3.5,NO,,INT_722,,,
36,1875.9886065965225,295.982485597993,81.62818718232838,22.49635294621556,5.0,14.0,NO,1,96.67309969861952,88.1773515845544,203.03,5.66,88.1773515845544,203.58,5.66,27.02137762219777,177.54,6.38,3.5,NO,,INT_1074,,,
37,2173.9940227464194,306.73450507752864,81.22551853799209,22.099879931072905,39.0,36.0,NO,2,474.9728798734692,355.48734792017177,264.55,5.26,363.5582959658395,267.17,5.40,313.7198664823482,225.49,5.59,4.5682966711950455,NO,,INT_723,,,
38,227.6094062671676,335.5820792249269,84.03630491405895,24.538784918426096,13.0,15.0,NO,84,150.23360181254466,130.61640048657472,106.20,1.37,130.61640048657472,106.20,1.37,86.18597437751744,63.07,1.58,3.5,NO,,INT_69,,,
39,240.3337159868693,334.67391406377544,84.01660741880973,24.523979995161337,3.0,7.0,NO,15,64.74140352076957,69.14316522394672,77.80,2.28,69.14316522394672,77.80,2.28,11.997676795600912,19.28,3.02,3.5,NO,,INT_66,,,
40,419.9318319301777,340.29023099637294,83.76456867216987,24.290429885081323,111.0,142.0,NO,115,2126.101182384914,1909.469524374588,1748.42,5.28,1926.708794067504,1766.36,5.73,1962.3349238242045,1791.64,6.72,6.057981386056476,SI (Rank 1),I/239/hip_main,26201.0,83.7648740231,24.2907687512,6.82
41,2132.4987259694776,341.9872382348749,81.3323704475012,22.10744252365276,8.0,12.0,NO,3,106.46116910592278,96.4381749175448,84.76,1.06,96.4381749175448,84.76,1.06,56.058378605221215,41.53,1.42,3.5,NO,,INT_724,,,
42,2069.178698098909,344.1731192067997,81.42399654853186,22.185903769815592,11.0,17.0,NO,3,134.0266556044224,115.70938468876268,84.76,1.06,115.70938468876268,84.76,1.06,79.23706249211214,41.53,1.42,3.5,NO,,INT_724,,,
43,47.4742862866816,348.21600936295107,84.31528741806017,24.74833526921403,10.0,11.0,NO,65,137.66052888156662,112.73585885064048,82.73,1.28,112.73585885064048,82.73,1.28,55.894979647928565,24.93,1.55,3.5,NO,,INT_86,,,
44,252.24147312548357,357.8647606895625,84.03147263794548,24.478438751646507,29.0,27.0,NO,115,338.5935353918031,270.5854280762453,250.32,1.77,275.65021335251004,251.13,1.86,242.7240145377871,225.54,1.62,4.183212887020781,NO,,INT_71,,,
45,3001.947854037561,361.0066704620035,80.15346131037927,20.96266358318866,27.0,26.0,NO,3,327.52081610628534,250.27786372030977,1246.92,17.96,264.80470793329346,1264.66,18.21,222.20212596162716,1281.01,19.15,4.097201699161166,NO,,INT_725,,,
46,1608.4346428063634,369.8509474434487,82.1075747250277,22.742609618995907,85.0,191.0,NO,3,1613.3544284614509,1466.8900946555527,1246.92,17.96,1494.4150679662844,1264.66,18.21,1524.9328659306843,1281.01,19.15,5.494306995071798,NO,,INT_725,,,
47,1045.96122478513,372.50205204327216,82.91013894088753,23.45582821921585,6.0,15.0,NO,17,81.59837532291529,80.00513253936111,72.73,1.66,80.00513253936111,72.73,1.66,36.04023388630156,21.69,1.88,3.5,NO,,INT_14,,,
48,1869.4798965563343,381.728236325598,81.75616604847298,22.393143369183417,14.0,19.0,NO,2,152.78073579711003,136.3908325399896,109.50,1.20,136.3908325399896,109.50,1.20,96.8682911064326,75.04,1.47,3.5,NO,,INT_726,,,
49,1568.0162846846497,392.679499974763,82.19631705230532,22.76446389711993,7.0,17.0,NO,3,109.5659519716159,94.55293651840766,191.42,8.42,94.55293651840766,192.21,8.49,45.70193093118972,155.53,8.66,3.5,NO,,INT_727,,,
50,2755.780239136033,410.7693900025947,80.56138147679671,21.216194024078423,36.0,31.0,NO,3,459.3029846704856,337.8183979960109,191.42,8.42,341.07700321336205,192.21,8.49,309.1204643550015,155.53,8.66,4.090896535726723,NO,,INT_727,,,
51,3052.6813987373325,413.1694183145787,80.15589202847414,20.829902316086063,61.0,45.0,NO,3,831.4575380398262,731.0487576852872,164.92,18.43,739.6674352539627,166.02,18.82,710.6247998236859,133.54,19.28,5.519580845761506,NO,,INT_728,,,
