# Header FITS:
# Numero di falsi positivi esclusi sicuramente: 0
# SIMPLE: True
# BITPIX: 16
# NAXIS: 2
# NAXIS1: 3072
# NAXIS2: 2048
# EXTEND: True
# COMMENT: FITS (Flexible Image Transport System) format is defined in 'Astronomy   and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H Start of commanded pointing details
# BZERO: 32768
# BSCALE: 1
# DATE-OBS: 2025-01-20T21:38:24.384
# DATE-END: 2025-01-20T21:38:25.443
# TSTART: 1737409104383.97
# TSTOP: 1737409105383.98
# DATE: 2025-01-20T21:38:27
# EXPOSURE: 1000000.0
# RA0: 4.162944e-11
# DEC0: 4.591495e-41
# EPOCH0: 0.0
# WCSAXES: 2
# CTYPE1: RA---TAN-SIP
# CTYPE2: DEC--TAN-SIP
# RA: 84.1735603968194
# DEC: 22.0169129400305
# EQUINOX: 2000.0
# CRVAL1: 84.1735603968194
# CRVAL2: 22.0169129400305
# CRPIX1: 1535.5
# CRPIX2: 1023.5
# CD1_1: -0.000829262326911753
# CD1_2: 0.00162718300191856
# CD2_1: -0.00162661357277892
# CD2_2: -0.000829577175965003
# A_ORDER: 2
# A_0_2: -9.44343595530208e-08
# A_1_1: 8.23019614647906e-08
# A_2_0: -1.15080770945975e-07
# B_ORDER: 2
# B_0_2: 9.65064630668827e-08
# B_1_1: 2.33578604115078e-08
# B_2_0: 1.74983935702629e-07
# AP_ORDER: 2
# AP_0_0: 1.33646096471078e-07
# AP_0_1: -6.69017451909132e-08
# AP_0_2: 9.44345216055104e-08
# AP_1_0: 7.31002233309485e-08
# AP_1_1: -8.23015532925985e-08
# AP_2_0: 1.15080326000137e-07
# BP_ORDER: 2
# BP_0_0: -1.00852074957913e-07
# BP_0_1: 6.12841246098713e-08
# BP_0_2: -9.65065268337841e-08
# BP_1_0: -6.32201973183082e-08
# BP_1_1: -2.33583553991748e-08
# BP_2_0: -1.74983581665072e-07
# NOME_FILE: 20250120_213824.fits
# fwhm: 2.8
# size: 5
# threshold_sigma: 9
# threshold_assoluta: 3.610293688717009
# pixel: 3
# soglia_filtro_ass: 2.5
# soglia_filtro_rel: 0.05
# max_sep: 0.003349
# NOME_FILE: run_1_stelle_trovate_e_catalogate_immagine_031.csv
#
label,xcentroid,ycentroid,RA_centroid,DEC_centroid,area,max_value,saturazione,ripetizioni_run_1,kron_flux,kron_manuale_seg,media_kron_manuale_seg,std_kron_manuale_seg,kron_manuale_aper,media_kron_manuale_aper,std_kron_manuale_aper,somma_apertura_ultimo_pixel,media_somma_apertura_ultimo_pixel,std_somma_apertura_ultimo_pixel,raggio_kron_aper,Corrispondenza,Catalogo,ID,RAJ2000,DEJ2000,Mag,flusso_fisso_max_run,media_flusso_fisso_max_run,std_flusso_fisso_max_run,raggio_fisso_max_run
21,1441.152957474565,138.14252419539324,82.69614132764193,22.895541566111884,8.0,13.0,NO,115,97.12382352140006,93.6760751181902,92.01,0.84,93.6760751181902,92.01,0.84,47.96034392162838,59.50,0.93,3.5,NO,,INT_19,,,,93.68,92.01,0.84,3.5
22,1936.6562375407743,153.40447774209835,82.28847113856905,22.07305447128224,13.0,17.0,NO,89,118.11644551127772,114.52748859857788,125.94,1.45,114.52748859857788,125.94,1.45,85.60417501149503,87.32,1.41,3.5,NO,,INT_18,,,,114.53,125.94,1.45,3.5
23,2314.927531352598,162.4641502961372,81.97611328431519,21.44677723563964,22.0,28.0,NO,114,217.1222885313909,205.9507174661188,199.33,1.25,207.11271496353143,199.50,1.27,184.5105259633958,181.62,1.27,3.5742159637583573,NO,,INT_17,,,,207.11,199.50,1.27,3.57
24,1645.2262093304553,165.29689773094282,82.56455364564195,22.539973273742422,92.0,98.0,NO,115,1570.8527976966664,1421.1432710237762,1493.85,5.77,1439.526796564377,1517.37,6.09,1416.1692353075937,1486.86,5.59,6.067597892220605,NO,,INT_23,,,,1439.53,1517.37,6.09,6.07
25,2321.832045640625,178.9164633518968,81.9990695551063,21.422208900522744,8.0,16.0,NO,47,92.0662411294206,91.0784979076583,93.76,1.47,91.0784979076583,93.76,1.47,54.4190972007113,59.34,1.97,3.5,NO,,INT_21,,,,91.08,93.76,1.47,3.5
26,600.4815374301899,183.4923580031055,83.52685033064883,24.22972114009919,4.0,8.0,NO,67,71.67332624635459,71.464323199384,91.56,1.57,71.464323199384,91.56,1.57,11.589796155500183,46.26,2.06,3.5,NO,,INT_484,,,,71.46,91.56,1.57,3.5
27,2151.2313602308304,191.55991859146692,82.16905160848539,21.69115942980169,14.0,22.0,NO,115,146.3056611847433,139.14431573917216,150.11,1.41,139.14431573917216,150.11,1.41,106.91158637493676,124.32,1.30,3.5,NO,,INT_24,,,,139.14,150.11,1.41,3.5
28,1325.9087663372827,194.35025673357347,82.89774437784969,23.03802413216974,11.0,20.0,NO,115,104.39226426349906,102.9150430876618,106.40,0.87,102.9150430876618,106.40,0.87,79.68667406348035,78.55,0.90,3.5,NO,,INT_29,,,,102.92,106.40,0.87,3.5
29,163.70370213576413,202.12926635370732,83.9562729182527,24.92452933069464,9.0,13.0,NO,72,117.43909182715088,110.12892103953112,97.99,1.29,110.12892103953112,97.99,1.29,61.34076527942605,47.69,1.68,3.5,NO,,INT_40,,,,110.13,97.99,1.29,3.5
30,2292.610206133608,210.7605783840444,82.08030900328988,21.44432794724912,32.0,42.0,NO,114,350.98194673582714,334.1279767430249,327.78,1.83,337.18580911397737,328.96,1.89,324.41933975637863,315.36,1.81,3.915193482123169,NO,,INT_25,,,,337.19,328.96,1.89,3.92
