label,occorrenze,media_flusso_fisso_max_run_CORRETTO_Correzione_Additiva_dell_Apertura_DECORRELAZIONE_STELLE_GLOBALE,numero_di_run,Mag_estratta_max
RA_81.82DEC20.00,308,160.55402963867397,66,10.556489318262278
RA_81.83DEC23.11,206,704.6584463432889,95,9.901887642617956
RA_81.86DEC21.48,523,354.61691770859983,104,10.010812617578065
RA_81.86DEC25.17,99,115.03350102005489,5,10.619507552446194
RA_81.88DEC20.69,355,130.71419360979212,100,10.72501301419633
RA_81.88DEC22.02,266,75.91273566742724,99,11.452506444849153
RA_81.91DEC21.94,533,6306.713682080781,110,7.820511529328166
RA_81.93DEC24.33,39,169.26272646792,49,10.693585280001576
RA_81.95DEC22.38,111,83.69111553647693,103,11.47282596100776
RA_81.96DEC20.85,386,202.045169956474,102,10.796565061143315
RA_81.98DEC21.45,349,215.04921878413347,115,10.65871630213956
RA_81.98DEC23.29,191,489.5749615668468,95,10.242109347542254
RA_82.00DEC21.42,141,110.0472204925263,114,10.90904902560871
RA_82.02DEC22.93,199,337.91684457343734,97,10.288295917357129
RA_82.05DEC21.92,32,143.61225724531425,114,10.796870652316754
RA_82.07DEC20.96,236,109.50468834656004,112,10.837001477287664
RA_82.08DEC21.44,15,302.8727032115849,116,10.42853693089223
RA_82.09DEC21.90,22,159.44723854769694,114,10.64886246167352
RA_82.16DEC21.52,13,384.0168063712967,113,10.37755039769529
RA_82.20DEC23.96,74,271.4241869747724,88,10.331390444608823
RA_82.24DEC20.05,204,140.6599630293845,46,10.54375614548795
RA_82.24DEC20.06,107,143.08413138447148,53,10.568421490034597
RA_82.24DEC20.44,58,1080.4678231888615,113,9.63425855417989
RA_82.27DEC20.05,321,366.25202667584153,100,10.18568755857144
RA_82.28DEC20.19,320,213.5047311245093,102,10.357378455686325
RA_82.28DEC24.22,15,153.06154397632025,64,10.501920749527033
RA_82.67DEC22.53,30,87.56681640832228,3,13.07511357908184
RA_83.32DEC22.72,30,67.06590236185963,2,13.65236709368931
RA_84.18DEC23.94,81,64.58111474958513,8,17.077716153987076
RA_84.25DEC22.20,53,62.066555437386064,5,13.9309343066799
RA_84.43DEC21.16,15,280.67722487462163,3,10.024527221705144
RA_85.94DEC18.71,86,207.8624982373784,7,12.054221816532024
RA_86.28DEC23.49,45,68.26181551500315,3,14.82777825500203
RA_88.29DEC22.31,606,87.1762577145525,9,11.12432274904032
RA_88.30DEC22.31,239,106.67209020287896,4,10.912392302383267
RA_88.45DEC39.37,44,89.24079489594706,2,10.700764788013512
