"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Feb 20 2009","2454882.999988426","256824001","114.42","1.42e-7","3.10e-8","-1.74","-","132.68","1e-8","0","bin67.log"
"Feb 23 2009","2454885.999988426","257083201","79.38","8.67e-8","2.66e-8","-1.74","-","133.86","1e-8","0","bin68.log"
"Feb 26 2009","2454888.999988426","257342401","80.15","1.32e-7","3.32e-8","-1.74","-","134.98","1e-8","0","bin69.log"
"Mar 01 2009","2454891.999988426","257601601","63.29","1.04e-7","2.98e-8","-1.74","-","136.02","1e-8","0","bin70.log"
"Mar 04 2009","2454894.999988426","257860801","117.04","1.68e-7","3.60e-8","-1.74","-","136.95","1e-8","0","bin71.log"
"Mar 07 2009","2454897.999988426","258120001","30.47","9.05e-8","3.13e-8","-1.74","-","137.78","1e-8","0","bin72.log"
"Mar 10 2009","2454900.999988426","258379201","51.72","1.20e-7","4.02e-8","-1.74","-","138.48","1e-8","0","bin73.log"
"Mar 16 2009","2454906.999988426","258897601","4.96","5.73e-8","3.91e-8","-1.74","-","139.44","1e-8","0","bin75.log"
"Mar 19 2009","2454909.999988426","259156801","37.77","6.39e-8","2.62e-8","-1.74","-","139.68","1e-8","0","bin76.log"
"Mar 22 2009","2454912.999988426","259416001","56.66","9.44e-8","2.79e-8","-1.74","-","139.73","1e-8","0","bin77.log"
"Mar 25 2009","2454915.999988426","259675201","43.78","1.01e-7","3.37e-8","-1.74","-","139.60","1e-8","0","bin78.log"
"Mar 28 2009","2454918.999988426","259934401","52.76","7.79e-8","2.54e-8","-1.74","-","139.27","1e-8","0","bin79.log"
"Mar 31 2009","2454921.999988426","260193601","85.15","1.30e-7","3.14e-8","-1.74","-","138.75","1e-8","0","bin80.log"
"Apr 03 2009","2454924.999988426","260452801","29.88","5.77e-8","2.40e-8","-1.74","-","138.02","1e-8","0","bin81.log"
